"排名","代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
"197",="2539","櫻花建","市","01/13","48.35","0","0","10","119","119.3","577","38.7","28.5","","","","","","","建材營造業","陳世英","沈淑貞"
"198",="2915","潤泰全","市","01/13","52.2","+0.1","+0.19","10","110","110.4","576","50","48.5","有","","有","","","","貿易百貨業","徐盛育","徐志漳"
"199",="4583","台灣精銳","市","01/13","718","+18","+2.57","10","8.02","8.02","576","26.2","3.69","","","有","","","","電機機械","張重興","郭崇哲"
"200","00795B","中信美國公債20年","櫃","01/13","27.63","+0.07","+0.25","","","206.7","571","6.8","6.76","","","有","","","","債券ETF","陳金榮","陳正華"
"201",="6191","精成科","市","01/13","114","-2.5","-2.15","10","49.9","49.93","569","52.9","34.9","","","有","","","","電子零組件業","焦佑衡","陶正國/楊建輝"
"202",="1319","東陽","市","01/13","95.7","+1.9","+2.03","10","59.1","59.15","566","58.2","31.1","有","","有","","","","汽車工業","吳永茂","吳永祥"
"203",="5522","遠雄","市","01/13","72.3","-0.6","-0.82","10","78.2","78.16","565","47.4","26.1","","","","有","","","建材營造業","趙文嘉","王耀堂"
"204",="6176","瑞儀","市","01/13","121.5","-2.5","-2.02","10","46.5","46.5","565","30.5","23.7","有","","有","","","","光電業","王昱超","王昱超"
"205",="2645","長榮航太","市","01/13","150","+2.5","+1.69","10","37.5","37.46","562","28.2","2.84","","","有","","","","航運業","黃南宏","謝新文"
"206",="2597","潤弘","市","01/13","180.5","+1","+0.56","10","31.1","31.07","561","50.2","15.8","","","","","","","建材營造業","李志宏","莫惟瀚"
"207","00950B","凱基A級公司債","櫃","01/13","14.41","+0.03","+0.21","","","389","561","1.5","1.52","","","","","","","債券ETF","丁紹曾","張慈恩"
"208","00722B","群益投資級電信債","櫃","01/13","37.26","+0.13","+0.35","","","149","555","8.1","8.08","","","","","","","債券ETF","賴政昇","陳明輝"
"209",="3491","昇達科","櫃","01/13","804","+8","+1.01","10","6.75","6.87","552","26.4","18","","","有","","","","通信網路業","陳淑敏","吳東義"
"210","00778B","凱基金融債20+","櫃","01/13","35.69","+0.08","+0.22","","","152.8","545","7","6.92","","","","","","","債券ETF","丁紹曾","張慈恩"
"211",="4772","台特化","櫃","01/13","369","-7","-1.86","10","14.8","14.77","545","12.8","1.32","","","有","","","","化學工業","徐秀蘭","張雄飛"
"212",="8454","富邦媒","市","01/13","203.5","-4.5","-2.16","10","26.5","26.5","539","21.3","11.1","","","","","","","數位雲端","蔡明忠","谷元宏"
"213",="8422","可寧衛*","市","01/13","47.2","+4.25","+9.9","1","11.4","113.7","537","26.7","14.3","","","有","有","","","綠能環保","楊慶祥","楊永發"
"214",="2637","慧洋-KY","市","01/13","71.1","-0.6","-0.84","10","74.6","74.64","531","17.2","15.1","","","有","有","","","航運業","藍俊昇","藍俊昇"
"215",="2441","超豐","市","01/13","93","-0.9","-0.96","10","56.9","56.88","529","42.9","25.2","有","","有","","","","半導體業","謝永達","紀有章"
"216","00981A","主動統一台股增長","市","01/13","16.77","-0.01","-0.06","","","313","525","0.7","0.64","","","","","","","主動式國內成分股ETF","鄧潤澤","董永寬"
